area_fips,own_code,industry_code,agglvl_code,annual_avg_estabs
44000,5,48-49,54,933
44000,5,51,54,1555
44000,5,52,54,2384
44000,5,53,54,1427
44000,5,54,54,9457
44000,5,55,54,276
44000,5,56,54,3949
44000,5,61,54,1060
44000,5,62,54,5876
44000,5,71,54,786
44000,5,72,54,3317
44000,5,81,54,4120
44000,5,99,54,186
45000,5,11,54,1408
45000,5,21,54,219
45000,5,22,54,703
45000,5,23,54,16194
45000,5,31-33,54,9640
45000,5,42,54,10340
45000,5,44-45,54,20696
45000,5,48-49,54,5085
45000,5,51,54,5748
45000,5,52,54,11552
45000,5,53,54,8992
45000,5,54,54,33532
45000,5,55,54,1866
45000,5,56,54,12696
45000,5,61,54,2732
45000,5,62,54,19591
45000,5,71,54,2833
45000,5,72,54,13364
45000,5,81,54,12050
45000,5,99,54,130
46000,5,11,54,1267
46000,5,21,54,89
46000,5,22,54,174
46000,5,23,54,4489
46000,5,31-33,54,1039
46000,5,42,54,3162
46000,5,44-45,54,3798
46000,5,48-49,54,1417
46000,5,51,54,956
46000,5,52,54,2789
46000,5,53,54,1375
46000,5,54,54,5636
46000,5,55,54,230
46000,5,56,54,2530
46000,5,61,54,519
46000,5,62,54,3056
46000,5,71,54,759
46000,5,72,54,2630
46000,5,81,54,2576
46000,5,99,54,4
47000,5,11,54,1060
47000,5,21,54,269
47000,5,22,54,338
47000,5,23,54,16569
47000,5,31-33,54,9444
47000,5,42,54,13481
47000,5,44-45,54,24711
47000,5,48-49,54,6174
47000,5,51,54,8940
47000,5,52,54,13516
47000,5,53,54,8051
47000,5,54,54,29005
47000,5,55,54,1608
47000,5,56,54,12956
47000,5,61,54,2873
47000,5,62,54,23017
47000,5,71,54,4012
47000,5,72,54,16336
47000,5,81,54,13941
47000,5,99,54,3642
48000,5,11,54,10081
48000,5,21,54,8785
48000,5,22,54,2563
48000,5,23,54,65395
48000,5,31-33,54,30778
48000,5,42,54,48069
48000,5,44-45,54,85614
48000,5,48-49,54,26358
48000,5,51,54,15704
48000,5,52,54,49220
48000,5,53,54,44318
48000,5,54,54,135145
48000,5,55,54,4993
48000,5,56,54,49557
48000,5,61,54,11276
48000,5,62,54,104157
